"year","month","day","maxTemp","minTemp","rain","snow","wetGround"
"1",2015,10,1,64,56,0.09,0,0
"2",2015,10,2,57,48,1.08,0,0
"3",2015,10,3,55,49,0.35,0,0
"4",2015,10,4,63,53,0,0,0
"5",2015,10,5,67,52,0,0,0
"6",2015,10,6,73,52,0,0,0
"7",2015,10,7,73,58,0,0,0
"8",2015,10,8,72,59,0,0,0
"9",2015,10,9,78,61,0.89,0,0
"10",2015,10,10,65,50,0,0,0
"11",2015,10,11,69,53,0,0,0
"12",2015,10,12,77,56,0,0,0
"13",2015,10,13,72,61,0.01,0,0
"14",2015,10,14,69,57,0,0,0
"15",2015,10,15,64,51,0,0,0
"16",2015,10,16,64,53,0,0,0
"17",2015,10,17,56,42,0,0,0
"18",2015,10,18,50,38,0,0,0
"19",2015,10,19,53,35,0,0,0
"20",2015,10,20,70,48,0,0,0
"21",2015,10,21,76,57,0,0,0
"22",2015,10,22,75,58,0,0,0
"23",2015,10,23,65,45,0,0,0
"24",2015,10,24,57,40,0,0,0
"25",2015,10,25,68,48,0.05,0,0
"26",2015,10,26,58,46,0,0,0
"27",2015,10,27,59,45,0,0,0
"28",2015,10,28,69,53,1.4,0,0
"29",2015,10,29,73,57,0.04,0,0
"30",2015,10,30,61,48,0,0,0
"31",2015,10,31,56,42,0,0,0
"32",2015,11,1,65,54,0,0,0
"33",2015,11,2,63,54,0,0,0
"34",2015,11,3,72,48,0,0,0
"35",2015,11,4,70,56,0,0,0
"36",2015,11,5,71,56,0.01,0,0
"37",2015,11,6,74,66,0,0,0
"38",2015,11,7,72,53,0,0,0
"39",2015,11,8,56,46,0,0,0
"40",2015,11,9,59,43,0,0,0
"41",2015,11,10,57,51,0.26,0,0
"42",2015,11,11,58,49,0.43,0,0
"43",2015,11,12,61,51,0.01,0,0
"44",2015,11,13,58,46,0,0,0
"45",2015,11,14,49,42,0,0,0
"46",2015,11,15,58,39,0,0,0
"47",2015,11,16,67,51,0,0,0
"48",2015,11,17,52,40,0,0,0
"49",2015,11,18,58,46,0,0,0
"50",2015,11,19,64,57,1.25,0,0
"51",2015,11,20,64,46,0,0,0
"52",2015,11,21,53,42,0,0,0
"53",2015,11,22,55,42,0.03,0,0
"54",2015,11,23,44,33,0,0,0
"55",2015,11,24,46,32,0,0,0
"56",2015,11,25,50,36,0,0,0
"57",2015,11,26,60,41,0,0,0
"58",2015,11,27,64,51,0,0,0
"59",2015,11,28,64,45,0.02,0,0
"60",2015,11,29,49,38,0,0,0
"61",2015,11,30,47,33,0,0,0
"63",2015,12,1,51,44,0.33,0,0
"64",2015,12,2,57,46,0.14,0,0
"65",2015,12,3,55,44,NA,0,0
"66",2015,12,4,51,42,0,0,0
"67",2015,12,5,51,40,0,0,0
"68",2015,12,6,53,39,0,0,0
"69",2015,12,7,54,42,0,0,0
"70",2015,12,8,49,41,0,0,0
"71",2015,12,9,55,40,0,0,0
"72",2015,12,10,60,51,NA,0,0
"73",2015,12,11,61,50,0,0,0
"74",2015,12,12,66,55,NA,0,0
"75",2015,12,13,67,55,0,0,0
"76",2015,12,14,67,53,0.33,0,0
"77",2015,12,15,68,53,0.09,0,0
"78",2015,12,16,53,46,0.04,0,0
"79",2015,12,17,59,50,1.21,0,0
"80",2015,12,18,57,38,NA,0,0
"81",2015,12,19,40,35,0,0,0
"82",2015,12,20,43,34,0,0,0
"83",2015,12,21,56,39,0,0,0
"84",2015,12,22,62,53,0.19,0,0
"85",2015,12,23,64,52,1.55,0,0
"86",2015,12,24,72,63,0.01,0,0
"87",2015,12,25,66,57,0.01,0,0
"88",2015,12,26,59,47,NA,0,0
"89",2015,12,27,61,46,0.12,0,0
"90",2015,12,28,46,34,0.03,NA,0
"91",2015,12,29,46,34,0.45,NA,0
"92",2015,12,30,48,38,0.19,0,0
"93",2015,12,31,48,42,0.03,0,0
"94",2015,7,1,82,69,0.39,0,0
"95",2015,7,2,80,69,0,0,0
"96",2015,7,3,82,66,0,0,0
"97",2015,7,4,75,69,NA,0,0
"98",2015,7,5,83,68,0,0,0
"99",2015,7,6,83,72,0,0,0
"100",2015,7,7,88,75,0.12,0,0
"101",2015,7,8,88,77,NA,0,0
"102",2015,7,9,79,68,0.3,0,0
"103",2015,7,10,84,72,0,0,0
"104",2015,7,11,88,69,0,0,0
"105",2015,7,12,89,72,0,0,0
"106",2015,7,13,88,73,0,0,0
"107",2015,7,14,82,73,0.42,0,0
"108",2015,7,15,81,72,0.12,0,0
"109",2015,7,16,80,64,0,0,0
"110",2015,7,17,81,67,0,0,0
"111",2015,7,18,85,71,0.32,0,0
"112",2015,7,19,93,78,0,0,0
"113",2015,7,20,94,82,0,0,0
"114",2015,7,21,89,74,NA,0,0
"115",2015,7,22,85,69,0,0,0
"116",2015,7,23,86,68,0,0,0
"117",2015,7,24,87,70,0,0,0
"118",2015,7,25,88,69,0,0,0
"119",2015,7,26,90,74,NA,0,0
"120",2015,7,27,86,71,0.36,0,0
"121",2015,7,28,95,75,0,0,0
"122",2015,7,29,96,78,0,0,0
"123",2015,7,30,87,76,1.95,0,0
"124",2015,7,31,89,72,0,0,0
"125",2015,8,1,89,75,0,0,0
"126",2015,8,2,89,71,0,0,0
"127",2015,8,3,90,75,0,0,0
"128",2015,8,4,89,69,0.43,0,0
"129",2015,8,5,87,72,0,0,0
"130",2015,8,6,83,67,0,0,0
"131",2015,8,7,84,69,0,0,0
"132",2015,8,8,82,68,0,0,0
"133",2015,8,9,85,68,0,0,0
"134",2015,8,10,84,70,0,0,0
"135",2015,8,11,81,71,1.17,0,0
"136",2015,8,12,85,71,0,0,0
"137",2015,8,13,83,67,0,0,0
"138",2015,8,14,88,67,0,0,0
"139",2015,8,15,92,73,0,0,0
"140",2015,8,16,93,76,0,0,0
"141",2015,8,17,95,78,0,0,0
"142",2015,8,18,90,73,0.29,0,0
"143",2015,8,19,87,77,0,0,0
"144",2015,8,20,86,77,0.01,0,0
"145",2015,8,21,87,71,0.32,0,0
"146",2015,8,22,86,69,0,0,0
"147",2015,8,23,85,70,0,0,0
"148",2015,8,24,87,73,0,0,0
"149",2015,8,25,90,73,0,0,0
"150",2015,8,26,85,67,0,0,0
"151",2015,8,27,82,67,0,0,0
"152",2015,8,28,82,63,0,0,0
"153",2015,8,29,87,67,0,0,0
"154",2015,8,30,90,72,0.13,0,0
"155",2015,8,31,91,76,0,0,0
"156",2015,9,1,90,76,0,0,0
"157",2015,9,2,91,74,0,0,0
"158",2015,9,3,93,74,0,0,0
"159",2015,9,4,85,72,0,0,0
"160",2015,9,5,83,67,0,0,0
"161",2015,9,6,87,65,0,0,0
"162",2015,9,7,92,70,0,0,0
"163",2015,9,8,97,76,0,0,0
"164",2015,9,9,90,76,NA,0,0
"165",2015,9,10,79,70,1.58,0,0
"166",2015,9,11,81,66,0,0,0
"167",2015,9,12,79,69,0.29,0,0
"168",2015,9,13,80,62,0.04,0,0
"169",2015,9,14,77,59,0,0,0
"170",2015,9,15,84,62,0,0,0
"171",2015,9,16,88,66,0,0,0
"172",2015,9,17,89,68,0,0,0
"173",2015,9,18,87,68,0,0,0
"174",2015,9,19,83,68,0,0,0
"175",2015,9,20,79,64,0,0,0
"176",2015,9,21,73,59,0,0,0
"177",2015,9,22,71,62,0,0,0
"178",2015,9,23,80,59,0,0,0
"179",2015,9,24,82,60,0,0,0
"180",2015,9,25,76,63,0,0,0
"181",2015,9,26,72,61,0,0,0
"182",2015,9,27,71,56,0,0,0
"183",2015,9,28,78,65,0,0,0
"184",2015,9,29,83,72,0.11,0,0
"185",2015,9,30,79,59,1.26,0,0
